0.11	0.28	0.45	0.61	0.77	0.92	1.08	1.26	1.41	1.59	1.74	1.92	2.08	2.26	2.43	2.60
0.12	0.29	0.43	0.61	0.77	0.92	1.10	1.27	1.43	1.59	1.75	1.92	2.09	2.27	2.44	2.61
0.12	0.30	0.45	0.61	0.77	0.93	1.09	1.27	1.43	1.59	1.78	1.93	2.10	2.26	2.44	2.61
0.12	0.29	0.44	0.61	0.78	0.92	1.10	1.27	1.42	1.59	1.77	1.93	2.09	2.27	2.44	2.61
0.12	0.29	0.45	0.61	0.77	0.92	1.09	1.26	1.43	1.59	1.75	1.92	2.09	2.26	2.44	2.60
0.12	0.29	0.44	0.61	0.77	0.92	1.10	1.27	1.43	1.59	1.77	1.92	2.10	2.27	2.44	2.61
0.13	0.29	0.45	0.61	0.77	0.92	1.09	1.28	1.43	1.59	1.75	1.92	2.09	2.27	2.44	2.61
0.12	0.30	0.45	0.61	0.78	0.92	1.10	1.29	1.43	1.60	1.77	1.92	2.09	2.27	2.44	2.62
0.12	0.28	0.43	0.61	0.76	0.92	1.09	1.26	1.43	1.59	1.75	1.93	2.09	2.27	2.43	2.61
0.12	0.30	0.44	0.61	0.77	0.92	1.10	1.27	1.42	1.59	1.76	1.93	2.09	2.27	2.44	2.62
0.12	0.28	0.44	0.61	0.77	0.92	1.10	1.27	1.43	1.59	1.74	1.93	2.09	2.27	2.43	2.61
0.12	0.30	0.45	0.61	0.79	0.92	1.09	1.28	1.43	1.59	1.77	1.92	2.10	2.26	2.44	2.61
0.12	0.29	0.45	0.61	0.76	0.92	1.10	1.28	1.43	1.59	1.76	1.93	2.09	2.27	2.44	2.62
0.12	0.29	0.45	0.61	0.77	0.93	1.09	1.26	1.43	1.59	1.77	1.92	2.10	2.27	2.44	2.62
0.12	0.28	0.43	0.61	0.77	0.92	1.10	1.27	1.42	1.59	1.77	1.93	2.08	2.27	2.44	2.62
0.12	0.29	0.45	0.61	0.78	0.93	1.08	1.27	1.43	1.59	1.75	1.92	2.10	2.27	2.44	2.62
0.12	0.29	0.44	0.61	0.77	0.92	1.10	1.27	1.43	1.59	1.77	1.92	2.08	2.27	2.44	2.62
0.12	0.29	0.45	0.61	0.77	0.92	1.10	1.27	1.42	1.59	1.75	1.93	2.10	2.27	2.44	2.61
0.12	0.29	0.44	0.61	0.77	0.93	1.10	1.27	1.43	1.59	1.77	1.92	2.09	2.27	2.45	2.61
0.12	0.29	0.45	0.61	0.77	0.92	1.09	1.27	1.43	1.59	1.75	1.93	2.09	2.27	2.43	2.61
0.12	0.29	0.45	0.61	0.78	0.92	1.10	1.27	1.42	1.59	1.77	1.92	2.10	2.27	2.44	2.62
0.13	0.29	0.45	0.61	0.77	0.92	1.09	1.26	1.43	1.59	1.76	1.93	2.09	2.26	2.43	2.61
0.12	0.29	0.45	0.61	0.77	0.93	1.09	1.28	1.43	1.60	1.77	1.92	2.09	2.28	2.44	2.61
0.12	0.27	0.44	0.61	0.77	0.92	1.10	1.28	1.43	1.59	1.76	1.92	2.09	2.26	2.43	2.61
0.12	0.30	0.45	0.61	0.78	0.93	1.10	1.28	1.43	1.59	1.77	1.93	2.09	2.26	2.45	2.62
0.12	0.28	0.43	0.61	0.76	0.92	1.10	1.27	1.43	1.59	1.76	1.92	2.09	2.27	2.44	2.62
0.12	0.29	0.45	0.61	0.77	0.92	1.10	1.27	1.42	1.59	1.76	1.93	2.10	2.27	2.44	2.61
0.12	0.28	0.45	0.61	0.77	0.93	1.10	1.27	1.43	1.59	1.76	1.93	2.10	2.26	2.44	2.61
0.12	0.30	0.44	0.61	0.77	0.92	1.10	1.26	1.43	1.59	1.77	1.93	2.09	2.27	2.44	2.61
0.13	0.29	0.45	0.61	0.77	0.93	1.10	1.26	1.42	1.59	1.76	1.92	2.08	2.27	2.44	2.61
0.12	0.28	0.44	0.61	0.78	0.93	1.10	1.27	1.43	1.59	1.76	1.92	2.10	2.26	2.44	2.61
0.13	0.29	0.45	0.61	0.77	0.92	1.10	1.27	1.43	1.59	1.76	1.92	2.09	2.28	2.45	2.61
0.12	0.29	0.45	0.61	0.77	0.93	1.09	1.27	1.43	1.59	1.76	1.93	2.09	2.27	2.44	2.61
0.12	0.29	0.45	0.61	0.77	0.92	1.10	1.26	1.43	1.59	1.76	1.93	2.09	2.27	2.45	2.60
0.13	0.29	0.45	0.61	0.77	0.93	1.10	1.27	1.43	1.59	1.76	1.92	2.09	2.26	2.43	2.61
0.12	0.29	0.45	0.61	0.78	0.92	1.10	1.26	1.42	1.59	1.77	1.92	2.09	2.28	2.44	2.62
0.12	0.28	0.44	0.61	0.77	0.92	1.09	1.26	1.43	1.59	1.76	1.93	2.08	2.26	2.43	2.61
0.12	0.29	0.44	0.61	0.78	0.92	1.10	1.27	1.43	1.59	1.76	1.92	2.10	2.27	2.44	2.62
0.12	0.27	0.44	0.61	0.76	0.92	1.10	1.27	1.42	1.59	1.77	1.93	2.10	2.27	2.44	2.62
0.12	0.30	0.44	0.61	0.77	0.92	1.10	1.26	1.43	1.59	1.76	1.93	2.09	2.27	2.44	2.62
0.13	0.29	0.45	0.61	0.77	0.92	1.10	1.27	1.43	1.59	1.75	1.92	2.10	2.26	2.44	2.62
